"","year","avg_mag"
"1","1965",6.0141592920354
"2","1966",6.04047008547009
"3","1967",6.00392156862745
"4","1968",6.07852459016393
"5","1969",6.00934984520124
"6","1970",6.03576811594203
"7","1971",5.97253886010363
"8","1972",5.94381443298969
"9","1973",5.81406483790524
"10","1974",5.8303324099723
"11","1975",5.84827669902913
"12","1976",5.82584245076586
"13","1977",5.78376470588235
"14","1978",5.81853658536585
"15","1979",5.82837078651685
"16","1980",5.84568965517241
"17","1981",5.86277258566978
"18","1982",5.81763005780347
"19","1983",5.87673289183223
"20","1984",5.85170124481328
"21","1985",5.89487394957983
"22","1986",5.85709278350515
"23","1987",5.90356435643564
"24","1988",5.84887525562372
"25","1989",5.84333333333333
"26","1990",5.860625
"27","1991",5.88228438228438
"28","1992",5.88270168855535
"29","1993",5.88884120171674
"30","1994",5.8775
"31","1995",5.90482233502538
"32","1996",5.8720887245841
"33","1997",5.85986842105263
"34","1998",5.86881443298969
"35","1999",5.89060538116592
"36","2000",5.85822784810127
"37","2001",5.87832957110609
"38","2002",5.86621621621622
"39","2003",5.88573195876289
"40","2004",5.85091068301226
"41","2005",5.85534709193246
"42","2006",5.85964566929134
"43","2007",5.88601973684211
"44","2008",5.90885826771654
"45","2009",5.86711798839458
"46","2010",5.89964285714286
"47","2011",5.86465638148668
"48","2012",5.87280898876404
"49","2013",5.88177874186551
"50","2014",5.88691666666667
"51","2015",5.91307174887892
"52","2016",5.89283582089552
