"","Latitude","Longitude","Depth","Magnitude","month","day","year","hour","minute","second"
"1",19.246,145.616,131.6,6,"01","02","1965","13","44","18"
"2",1.863,127.352,80,5.8,"01","04","1965","11","29","49"
"3",-20.579,-173.972,20,6.2,"01","05","1965","18","05","58"
"4",-59.076,-23.557,15,5.8,"01","08","1965","18","49","43"
"5",11.938,126.427,15,5.8,"01","09","1965","13","32","50"
"6",-13.405,166.629,35,6.7,"01","10","1965","13","36","32"
"7",27.357,87.867,20,5.9,"01","12","1965","13","32","25"
"8",-13.309,166.212,35,6,"01","15","1965","23","17","42"
"9",-56.452,-27.043,95,6,"01","16","1965","11","32","37"
"10",-24.563,178.487,565,5.8,"01","17","1965","10","43","17"
"11",-6.807,108.988,227.9,5.9,"01","17","1965","20","57","41"
"12",-2.608,125.952,20,8.2,"01","24","1965","00","11","17"
"13",54.636,161.703,55,5.5,"01","29","1965","09","35","30"
"14",-18.697,-177.864,482.9,5.6,"02","01","1965","05","27","06"
"15",37.523,73.251,15,6,"02","02","1965","15","56","51"
"16",-51.84,139.741,10,6.1,"02","04","1965","03","25","00"
"17",51.251,178.715,30.3,8.7,"02","04","1965","05","01","22"
"18",51.639,175.055,30,6,"02","04","1965","06","04","59"
"19",52.528,172.007,25,5.7,"02","04","1965","06","37","06"
"20",51.626,175.746,25,5.8,"02","04","1965","06","39","32"
"21",51.037,177.848,25,5.9,"02","04","1965","07","11","23"
"22",51.73,173.975,20,5.9,"02","04","1965","07","14","59"
"23",51.775,173.058,10,5.7,"02","04","1965","07","23","12"
"24",52.611,172.588,24,5.7,"02","04","1965","07","43","43"
"25",51.831,174.368,31.8,5.7,"02","04","1965","08","06","17"
"26",51.948,173.969,20,5.6,"02","04","1965","08","33","41"
"27",51.443,179.605,30,7.3,"02","04","1965","08","40","44"
"28",52.773,171.974,30,6.5,"02","04","1965","12","06","08"
"29",51.772,174.696,20,5.6,"02","04","1965","12","50","59"
"30",52.975,171.091,25,6.4,"02","04","1965","14","18","29"
"31",52.99,170.874,25,5.8,"02","04","1965","15","51","25"
"32",51.536,175.045,25,5.8,"02","04","1965","18","34","12"
"33",13.245,-44.922,10,5.8,"02","04","1965","19","44","04"
"34",51.812,174.206,10,5.7,"02","04","1965","22","30","03"
"35",51.762,174.841,25,5.7,"02","05","1965","06","39","50"
"36",52.438,174.321,39.5,6.3,"02","05","1965","09","32","11"
"37",51.946,173.84,30,5.7,"02","05","1965","13","38","47"
"38",51.738,174.566,20,6,"02","05","1965","20","47","12"
"39",51.487,176.558,30.4,5.6,"02","05","1965","22","16","02"
"40",53.008,-162.008,17.8,6.4,"02","06","1965","01","40","32"
"41",52.184,175.505,27.7,6.2,"02","06","1965","04","02","54"
"42",52.076,172.918,30.1,5.6,"02","06","1965","07","14","45"
"43",51.744,175.213,37.4,5.7,"02","06","1965","12","22","28"
"44",52.057,174.116,17.5,5.7,"02","06","1965","14","11","11"
"45",53.191,-161.859,22.5,6.3,"02","06","1965","16","50","29"
"46",51.447,176.469,25.2,5.8,"02","06","1965","18","10","30"
"47",51.258,173.393,17.7,5.7,"02","07","1965","02","17","08"
"48",52.031,175.411,25,5.7,"02","07","1965","04","11","22"
"49",51.294,179.092,25,5.8,"02","07","1965","09","25","52"
"50",55.223,165.426,32.5,5.9,"02","08","1965","15","46","52"
"51",-18.718,169.386,200,5.6,"02","09","1965","05","42","05"
"52",52.815,171.904,30,6,"02","09","1965","17","37","17"
"53",52.188,172.752,25,5.8,"02","12","1965","00","55","10"
"54",51.009,179.325,20,5.8,"02","15","1965","01","25","07"
"55",3.026,125.951,100,5.9,"02","15","1965","10","43","29"
"56",38.908,142.095,53.5,5.7,"02","16","1965","12","24","10"
"57",51.694,176.446,30,5.7,"02","17","1965","10","18","51"
"58",21.527,143.081,340,5.6,"02","17","1965","18","23","57"
"59",25.011,94.186,55,5.6,"02","18","1965","04","26","37"
"60",-7.251,126.715,35,5.9,"02","18","1965","22","39","48"
"61",51.415,179.358,40.4,5.8,"02","18","1965","23","13","40"
"62",-15.343,-172.889,35,5.8,"02","21","1965","11","14","18"
"63",-25.633,-70.679,35,7,"02","23","1965","22","11","47"
"64",-5.461,151.98,40,6.2,"02","25","1965","04","51","29"
"65",51.884,173.072,20.3,6.2,"02","25","1965","05","22","14"
"66",6.746,-72.971,160,5.6,"02","26","1965","23","36","14"
"67",28.133,-112.208,10,6,"02","27","1965","07","46","25"
"68",-5.377,152.115,30,5.9,"03","01","1965","07","20","56"
"69",21.104,121.218,30,5.7,"03","01","1965","08","18","57"
"70",-5.371,152.055,40,5.5,"03","01","1965","09","08","48"
"71",21.122,121.148,30,5.6,"03","01","1965","13","20","57"
"72",52.204,173.911,33.6,5.7,"03","01","1965","19","22","04"
"73",15.404,-92.623,105.2,5.6,"03","01","1965","21","32","14"
"74",38.399,28.226,10,5.8,"03","02","1965","22","00","05"
